年级,单词,释义,英文句子,中文翻译
6,strengthen,加强,We need to strengthen our teamwork to finish the project on time.,我们需要加强团队合作以按时完成项目。
5,stress,压力,Exercise can help reduce stress.,锻炼有助于减轻压力。
5,stretch,伸展,I need to stretch my legs after sitting for hours.,坐了几个小时后，我需要活动一下腿脚。
6,strife,冲突,The two groups tried to avoid strife during the meeting.,两组在会议期间试图避免冲突。
5,strike,罢工,Workers plan to strike for better pay.,工人们计划为提高工资而罢工。
5,strip,剥去,Please strip the extra spaces from the text.,请从文本中去除多余的空格。
6,stripe,条纹,I used a stripe to decorate the notebook.,我用一条条纹装饰了笔记本。
5,strive,努力,We should strive to learn new things every day.,我们应该每天努力学习新东西。
6,stroke,中风,She had a stroke last year and is now recovering slowly.,她去年中风了，现在正在慢慢康复。
5,stroll,散步,We like to stroll in the park after dinner.,我们喜欢晚饭后在公园散步。
6,stronghold,堡垒,They defended their stronghold against the enemy.,他们保卫了自己的要塞免受敌人攻击。
5,structure,结构,The structure of the building is very strong.,这座建筑物的结构非常坚固。
5,struggle,奋斗,I struggle to finish my homework on time.,我很难按时完成作业。
1,student,学生,The student is reading a book.,这个学生正在读书。
5,study,学习,I study English every day.,我每天学习英语。
3,stuff,东西,I need to buy some stuff from the store.,我需要从商店买些东西。
5,stumble,绊倒,I sometimes stumble when I walk on uneven ground.,我有时在不平的地面上走路会绊脚。
5,style,风格,I like her unique style.,我喜欢她独特的风格。
3,subject,主题,The subject of today's class is math.,今天课的主题是数学。
5,submit,提交,You need to submit your homework by Friday.,你需要在周五之前提交作业。
6,subordinate,下属,The manager asked her subordinate to finish the report by noon.,经理让她的下属在中午前完成报告。
5,subscribe,订阅,I want to subscribe to the newsletter.,我想订阅新闻通讯。
6,subsidy,补贴,The government provides a subsidy to help farmers.,政府提供补贴以帮助农民。
5,substance,物质,The substance is stored in a glass container.,这种物质储存在玻璃容器中。
5,suburb,郊区,I live in a quiet suburb near the city.,我住在城市附近一个安静的郊区。
5,subway,地铁,I take the subway to work every day.,我每天乘地铁上班。
5,succeed,成功,She will succeed with hard work.,她只要努力就会成功。
5,success,成功,She worked hard to achieve success.,她努力工作以取得成功。
5,succession,继承,The succession of seasons brings different weather patterns each year.,季节的更替每年带来不同的天气模式。
5,sudden,突然,A sudden noise made me jump.,一声突然的响声吓了我一跳。
5,suffer,遭受,Many people suffer from colds in winter.,很多人在冬天感冒。
5,suggest,建议,I suggest we go to the park tomorrow.,我建议我们明天去公园。
5,suggestion,建议,I have a suggestion for our next meeting.,我对我们下次会议有个建议。
1,suicide,自杀,We should talk openly about suicide to help those in need.,我们应该公开谈论自杀问题以帮助那些有需要的人。
5,suit,套装,He wears a black suit to the office every day.,他每天穿黑色西装去办公室。
6,suite,套房,She booked a luxury suite for her vacation.,她为假期预订了一间豪华套房。
3,sum,总和,Please sum the numbers quickly.,请快速计算这些数字的总和。
6,summarize,总结,Please summarize the main points of the article.,请总结这篇文章的要点。
5,summary,总结,Can you give a summary of the story?,你能总结一下这个故事吗？
3,summer,夏天,I like to swim in summer.,我喜欢在夏天游泳。
6,summit,峰会,Leaders from around the world gathered at the summit to discuss global issues.,世界各国领导人齐聚峰会，共商全球议题。
5,summon,召唤,I need to summon my friend to help me with this problem.,我需要召唤我的朋友来帮我解决这个问题。
1,sun,太阳,The sun shines brightly today.,今天阳光明媚。
3,sunlight,阳光,Sunlight shines through the window.,阳光透过窗户照进来。
5,sunrise,日出,I love watching the sunrise over the mountains.,我喜欢看山上的日出。
5,sunset,日落,I enjoy watching the sunset every evening.,我喜欢每天晚上看日落。
4,sunshine,阳光,The sunshine makes me feel happy.,阳光让我感到开心。
4,super,超级,She is a super student in our class.,她是我们班的超级学生。
6,superior,上级,My superior praised my work today.,我的上司今天表扬了我的工作
3,supermarket,超市,I often go to the supermarket to buy fruits and vegetables.,我经常去超市买水果和蔬菜。
6,superstition,迷信,Many people still hold onto the superstition that breaking a mirror brings seven years of bad luck.,许多人仍然迷信打破镜子会带来七年厄运。
5,supervise,监督,Teachers supervise students during exams.,教师在考试期间监督学生。
4,supper,晚餐,We will have fish for supper tonight.,今晚我们晚餐吃鱼。
5,supplement,补充,I take a supplement every morning for better health.,我每天早上吃一种补充剂以增进健康。
4,supply,供应,We need to ensure a steady supply of fresh water.,我们需要确保淡水的稳定供应。
5,support,支持,I will support you in finishing the project.,我会支持你完成这个项目。
5,suppose,假设,Suppose we go to the park tomorrow.,假设我们明天去公园。
5,surface,表面,The surface of the table is smooth.,桌子的表面很光滑。
6,surge,激增,A sudden surge of people entered the store.,一群人突然涌入了商店。
6,surgery,手术,She needs to have surgery on her knee next week.,她下周需要做膝盖手术。
5,surname,姓氏,My surname is Smith.,我姓史密斯。
5,surpass,超过,She hopes to surpass her previous record in the race.,她希望在比赛中打破自己之前的纪录。
6,surplus,盈余,The store has a surplus of apples this season.,这个季节这家商店的苹果有剩余。
4,surprise,惊喜,She gave me a surprise gift.,她给了我一个惊喜礼物。
6,surrender,投降,The soldiers had to surrender after running out of supplies.,士兵们耗尽补给后不得不投降。
5,surround,围绕,Trees surround the small house.,树木环绕着这座小房子。
6,survey,调查,We need to conduct a survey about student preferences.,我们需要进行一项关于学生偏好的调查。
6,survival,生存,Plants need water for survival.,植物需要水来生存。
4,survive,生存,Animals need food and water to survive.,动物需要食物和水来生存。
6,suspend,暂停,The school will suspend classes due to the heavy rain.,学校将因大雨停课
6,suspense,悬念,The movie builds suspense as the detective approaches the locked door.,当侦探靠近那扇锁着的门时，电影营造出了悬念。
6,suspicion,怀疑,Her suspicion grew when he avoided her eyes.,他避开她的目光时，她的怀疑加深了。
6,sustain,维持,We need to find ways to sustain this project for a long time.,我们需要找到长期维持这个项目的方法。
5,swallow,吞咽,I can swallow this pill easily.,我可以轻松咽下这颗药丸。
5,swamp,沼泽,The swamp is full of tall trees and water plants.,这片沼泽里长满了高大的树木和水生植物。
5,swan,天鹅,The swan glides gracefully on the lake.,天鹅在湖面上优雅地滑行。
5,sway,摇摆,The wind can sway the trees gently.,风可以轻轻地摇动树木。
5,swear,发誓,I swear to tell the truth.,我发誓说实话。
4,sweater,毛衣,I wear a warm sweater in winter.,我在冬天穿一件暖和的毛衣。
5,sweep,打扫,I need to sweep the floor after dinner.,晚饭后我需要扫地。
3,sweet,甜的,The sweet cake tastes very good.,这个甜蛋糕味道很好。
6,swell,膨胀,The waves began to swell as the storm approached.,随着暴风雨的临近，海浪开始上涨。
3,swim,游泳,I like to swim in the pool.,我喜欢在游泳池里游泳。
3,swimming,游泳,I like swimming in the pool.,我喜欢在游泳池里游泳。
5,swing,摇摆,She likes to swing on the playground.,她喜欢在操场上荡秋千。
6,switch,开关,Please switch off the light when you leave.,离开时请关灯
5,symbol,符号,The symbol on the map shows the location of the park.,地图上的符号显示了公园的位置。
6,symbolize,象征,Doves symbolize peace and love.,鸽子象征着和平与爱。
6,sympathize,同情,I sympathize with her situation and want to help.,我同情她的处境，并且想提供帮助。
5,sympathy,同情,I felt great sympathy for the homeless man in the park.,我对公园里那个无家可归的男人感到十分同情。
6,symptom,症状,Fever is a common symptom of the flu.,发烧是流感的常见症状。
5,system,系统,The system helps us work efficiently.,这个系统帮助我们高效工作。
3,table,桌子,I put the book on the table.,我把书放在桌子上了。
6,tablet,平板,I use a tablet to read books.,我用平板电脑看书。
5,tackle,处理,I need to tackle this problem immediately.,我需要立即解决这个问题。
6,tactics,策略,The coach taught us new tactics for the game.,教练教了我们比赛的新战术。
5,tag,标签,Please add a tag to this photo.,请给这张照片添加一个标签。
3,tail,尾巴,The dog wags its tail happily.,狗高兴地摇着尾巴。
5,tailor,裁缝,I can tailor the lesson to your learning needs.,我可以根据你的学习需求调整课程内容。
5,tale,故事,She told me a funny tale about her childhood.,她给我讲了一个关于她童年的有趣故事。
5,talent,天赋,She has a natural talent for singing.,她有唱歌的天赋
3,talk,谈话,Let's talk about our weekend plans.,让我们谈谈我们的周末计划吧。
3,tall,高的,He is tall.,他很高。
6,tame,驯服,She tried to tame the wild horse with patience.,她耐心地试图驯服那匹野马。
6,tan,晒黑,I need to tan my skin under the sun.,我需要在阳光下晒黑我的皮肤。
5,tank,坦克,The tank moved slowly across the field.,坦克缓慢地驶过田野。
5,tanker,油轮,The tanker transported oil across the ocean.,这艘油轮跨洋运输石油。
3,tap,轻敲,Please tap the button to start.,请点击按钮开始。
4,tape,磁带,I need a tape to fix this paper.,我需要一卷胶带把这张纸粘好。
6,tar,焦油,I need to tar these files before sending them.,我需要在发送这些文件之前把它们打包。
5,target,目标,We need to reach our target by the end of the day.,我们需要在今天结束前达成目标。
5,task,任务,I have a task to finish today.,我今天有一项任务要完成。
5,taste,味道,I love the taste of fresh apples.,我喜欢新鲜苹果的味道。
3,teacher,老师,My teacher is very kind.,我的老师非常和蔼。
5,teaching,教学,She enjoys teaching English to children.,她喜欢教孩子们英语。
3,team,团队,Our team works together every day.,我们团队每天都一起工作。
3,teapot,茶壶,I pour tea from the teapot.,我从茶壶里倒茶。
5,tear,眼泪,She shed a tear when she heard the sad news.,她听到这个不幸的消息时流了一滴眼泪。
6,tease,取笑,She likes to tease her little brother gently.,她喜欢温柔地逗弄她的弟弟。
6,technique,技术,She learned a new technique to solve the problem.,她学习了一种解决这个问题的新技术。
5,technology,技术,Technology makes our life easier.,科技使我们的生活更便捷。
6,telecommunication,电信,Telecommunication plays a vital role in connecting people around the world.,电信在连接世界各地的人们方面发挥着至关重要的作用。
6,telegram,电报,I sent a message via telegram.,我通过电报发送了一条消息。
6,telegraph,电报,The telegraph revolutionized long-distance communication in the 19th century.,电报在19世纪彻底改变了长途通信。
3,telephone,电话,She uses the telephone to call her friend.,她用电话给她的朋友打电话。
5,television,电视,I watch television every evening.,我每天晚上看电视。
2,tell,告诉,Please tell me your name.,请告诉我你的名字。
5,temper,脾气,She tried to control her temper when she heard the news.,当她听到这个消息时，她努力控制自己的脾气。
5,temperature,温度,The temperature is 25 degrees today.,今天气温25度。
5,temple,寺庙,We visited the ancient temple yesterday.,我们昨天参观了那座古老的寺庙。
6,temptation,诱惑,She resisted the temptation to eat another cookie.,她抵制住了再吃一块饼干的诱惑。
6,tempt,引诱,The delicious cake began to tempt me as soon as I walked into the room.,我一走进房间，美味的蛋糕就开始诱惑我。
6,tenant,租户,The tenant pays rent on time every month.,租客每月按时支付租金。
5,tend,趋向,People tend to eat more in cold weather.,人们在寒冷的天气里往往会吃得更多。
5,tendency,趋势,She has a tendency to sing loudly in the morning.,她有早上大声唱歌的习惯。
5,tennis,网球,I like playing tennis.,我喜欢打网球。
5,tense,时态,I need to learn about the correct tense for this sentence.,我需要了解这个句子的正确时态。
6,tension,紧张,The tension in the room made everyone quiet.,房间里的紧张气氛让所有人都安静下来。
5,tent,帐篷,We set up a tent by the lake for camping.,我们在湖边搭了个帐篷露营。
5,term,术语,I need to learn a new term today.,我今天需要学习一个新术语。
6,terminal,终端,I opened the terminal to start the program.,我打开终端启动程序。
6,terminate,终止,We need to terminate the project immediately.,我们需要立即终止这个项目。
6,territory,领土,They explored the new territory together.,他们一起探索了新的领土。
6,terror,恐怖,Terror filled her eyes when she heard the loud noise.,当她听到巨大的声响时，眼中充满了恐惧。
1,test,测试,I need to take a test tomorrow.,我明天需要参加一场考试。
2,text,文本,Please read the text carefully.,请仔细阅读文本。
3,thank,感谢,Thank you for your help.,谢谢你的帮助。
5,theater,剧院,We are going to the theater tonight.,我们今晚要去剧院。
5,theatre,剧院,We are going to the theatre tonight.,我们今晚要去看戏。
6,theft,盗窃,The theft of the necklace was reported to the police.,项链被盗一事已向警方报案。
2,them,他们,I will help them finish the work on time.,我会帮助他们按时完成工作。
2,then,然后,I will go to the park then.,我那时会去公园。
6,theory,理论,We need to test this theory with experiments.,我们需要通过实验来验证这个理论。
1,there,那里,I see a book there.,我看到那里有一本书。
6,thereby,从而,"She studied hard, thereby passing the exam easily.",她学习很努力，因此轻松通过了考试。
4,therefore,因此,I was tired therefore I went to bed early.,我累了所以早早就上床睡觉了。
6,thermal,热的,The thermal energy from the sun warms the Earth's surface.,太阳的热能使地球表面变暖。
3,these,这些,These books are on the table.,这些书在桌子上。
1,they,他们,They are playing in the park.,他们正在公园里玩。
4,thick,厚的,The book has a thick cover.,这本书有一个厚厚的封面。
6,thickness,厚度,The thickness of the book is two centimeters.,这本书的厚度是两厘米
6,thief,小偷,The thief ran away quickly.,小偷很快逃跑了。
6,thigh,大腿,She felt a sharp pain in her thigh after running.,她跑步后大腿感到一阵剧痛。
3,thin,瘦的,She has a thin book.,她有一本薄书。
1,thing,事物,I have a special thing.,我有一个特别的东西。
3,think,思考,I think it's a good idea to go for a walk.,我觉得去散步是个好主意。
5,thinking,思考,I am thinking about my next plan.,我正在考虑我的下一个计划。
4,third,第三,I am the third person in line.,我是队伍里的第三个人。
3,thirteen,十三,I have thirteen apples in my basket.,我的篮子里有十三个苹果。
3,thirty,三十,She bought thirty apples from the store.,她从商店买了三十个苹果。
3,those,那些,Those books are on the table.,那些书在桌子上
5,though,虽然,She felt tired though she slept well last night.,她昨晚睡得很好，但还是感到累。
5,thought,想法,I have a thought about our plan.,我对我们的计划有个想法。
5,threat,威胁,The dark clouds brought a threat of rain.,乌云带来了下雨的预兆。
6,threaten,威胁,He tried to threaten me with a stick.,他试图用一根棍子威胁我。
6,thrill,兴奋,The roller coaster ride gave me a real thrill.,坐过山车给了我一种真正的刺激感。
5,thrive,繁荣,Plants thrive in warm and sunny environments.,植物在温暖且阳光充足的环境中茁壮成长。
5,throat,喉咙,My throat feels a little sore today.,我今天喉咙有点痛。
6,throne,王位,The king sat on his golden throne.,国王坐在他的金色宝座上。
5,through,通过,I walk through the park every morning.,我每天早上都穿过公园。
6,thrust,推力,The rocket's engines began to thrust upward into the sky.,火箭的引擎开始向上推进，直冲云霄。
5,thumb,拇指,I hurt my thumb while opening the jar.,我开罐子的时候弄伤了拇指。
5,thunderstorm,雷暴,We heard thunder and saw lightning during the thunderstorm.,雷雨期间我们听到了雷声并看到了闪电。
6,thus,因此,She studied hard thus passed the exam.,她学习很努力，因此通过了考试。
5,tide,潮汐,The tide rises and falls twice a day.,潮汐每天涨落两次。
3,tie,领带,I need to tie my shoes before going out.,出门前我需要系好鞋带。
1,tiger,老虎,The tiger is a large cat with orange fur and black stripes.,老虎是一种有着橙色皮毛和黑色条纹的大型猫科动物。
4,tight,紧的,The shoes feel tight on my feet.,这双鞋穿在我脚上感觉很紧。
6,tighten,收紧,Please tighten the screws to secure the shelf.,请拧紧螺丝以固定架子。
5,tile,瓦片,I placed a tile on the floor.,我在地板上放了一块瓷砖。
5,till,直到,I will wait till you come back.,我会等你回来。
6,tilt,倾斜,The table began to tilt when I leaned on it.,我一靠桌子，桌子就开始倾斜了。
6,timber,木材,We use timber to build houses.,我们用木材建造房屋。
3,time,时间,Time flies quickly when I'm having fun.,当我玩得开心的时候，时间过得飞快。
4,tip,提示,Here's a tip for you.,给你个小建议。
6,tire,轮胎,I need to change the tire of my car.,我需要更换我的汽车轮胎。
6,tissue,组织,The doctor examined the tissue sample under the microscope.,医生在显微镜下检查了组织样本。
3,title,标题,The title of the book is interesting.,这本书的书名很有趣。
5,toad,蟾蜍,A toad sat quietly by the pond.,一只蟾蜍静静地坐在池塘边。
5,toast,吐司,I like to toast bread for breakfast.,我喜欢早餐烤面包。
6,tobacco,烟草,Tobacco is harmful to health.,烟草有害健康
4,today,今天,I will go to the park today.,我今天要去公园。
4,toe,脚趾,I hurt my toe when I kicked the stone.,我踢到石头时弄伤了脚趾。
3,together,一起,We will go to the park together.,我们将一起去公园。
5,toilet,厕所,I need to go to the toilet.,我需要去厕所。
6,token,令牌,A token is a small unit of data in computing.,在计算中，令牌是数据的一个小单位。
5,tolerance,宽容,We should have tolerance for different opinions.,我们应该对不同的意见抱有宽容。
5,tolerate,容忍,I can't tolerate loud noises in the library.,我无法容忍图书馆里的嘈杂声。
3,tomato,番茄,I like to eat tomato.,我喜欢吃西红柿。
5,tomb,坟墓,They visited the ancient tomb yesterday.,他们昨天参观了那座古墓。
3,tomorrow,明天,I will go to the park tomorrow.,我明天要去公园。
5,tone,语气,Her friendly tone made everyone feel welcome.,她友好的语气让每个人都感到受欢迎。
5,tongue,舌头,She stuck out her tongue playfully.,她顽皮地伸出舌头。
4,tonight,今晚,I will have dinner with my family tonight.,我今晚要和家人一起吃晚饭。
3,tool,工具,I need a tool to fix the broken chair.,我需要一个工具来修理坏掉的椅子。
3,tooth,牙齿,I brush my tooth every morning.,我每天早上刷牙。
3,toothbrush,牙刷,I brush my teeth with a toothbrush every morning.,我每天早上用牙刷刷牙。
4,toothpaste,牙膏,I brush my teeth with toothpaste every morning.,我每天早上用牙膏刷牙。
3,top,顶部,He stood at the top of the hill.,他站在山顶上。
5,topic,主题,We need to choose a topic for our presentation.,我们需要为我们的演示选择一个主题。
6,torment,折磨,The noise continued to torment her throughout the night.,噪音整夜持续折磨着她。
6,torrent,洪流,I downloaded a movie via a torrent.,我通过种子下载了一部电影。
3,tortoise,乌龟,The tortoise moves slowly on the ground.,乌龟在地上缓慢移动。
6,torture,折磨,They were accused of using torture to get information.,他们被指控使用酷刑获取情报。
4,total,总计,The total cost of the books is fifty dollars.,这些书的总成本是五十美元。
3,touch,触摸,Please don't touch the hot stove.,请不要碰那个热炉子。
6,tour,旅行,We plan to tour the city next weekend.,我们计划下周末游览这座城市。
4,tourism,旅游,Tourism boosts the local economy significantly.,旅游业显著促进当地经济发展。
5,tourist,游客,A tourist is taking photos of the beautiful scenery.,一位游客正在拍摄美丽的风景照片。
3,towel,毛巾,I need a towel to dry my hands.,我需要一条毛巾来擦干我的手。
3,town,城镇,I live in a small town.,我住在一个小镇上。
1,toy,玩具,She plays with her toy car happily.,她开心地玩着她的玩具汽车。
5,trace,追踪,I can trace the path of the river on the map.,我能在地图上追踪这条河的流向。
5,track,跟踪,I like to track my daily steps with a fitness app.,我喜欢用健身应用追踪我的每日步数
5,trade,贸易,Countries often trade goods with each other.,国家之间经常进行商品贸易。
5,tradition,传统,We should keep this tradition alive for future generations.,我们应该为子孙后代将这一传统传承下去。
5,traffic,交通,The traffic on the road is very heavy.,路上的交通非常拥堵。
6,tragedy,悲剧,The loss of her family was a great tragedy.,失去家人对她来说是一场巨大的悲剧。
5,trail,小径,We walked along the trail through the forest.,我们沿着森林里的小径行走。
3,train,火车,I take the train to work every day.,我每天乘火车上班。
5,trainer,教练,My trainer helps me exercise every morning.,我的教练每天早上帮我锻炼。
6,training,训练,She is training for a marathon every morning.,她每天早上都在为马拉松进行训练。
6,traitor,叛徒,The traitor betrayed his country to the enemy.,那个叛徒背叛了自己的国家，投靠了敌人。
5,tram,电车,I take the tram to work every morning.,我每天早上乘电车去上班。
6,transaction,交易,I completed the transaction at the store this morning.,我今天早上在商店完成了交易。
5,transfer,转移,I need to transfer money to my friend's account today.,我今天需要给我朋友的账户转账。
5,transform,转换,We can transform our ideas into actions.,我们可以将想法转化为行动。
6,transformation,转变,The city has undergone a great transformation in recent years.,近年来，这座城市发生了巨大的转变。
5,translate,翻译,Can you help me translate this sentence into French?,Pouvez-vous m'aider à traduire cette phrase en français ?
5,translation,翻译,I need help with the translation of this sentence.,我需要帮忙翻译这个句子。
6,transmission,传输,The transmission of the car needs to be checked regularly.,汽车的变速箱需要定期检查。
6,transmit,传输,We can transmit signals through this device.,我们可以通过这个设备传输信号。
6,transplant,移植,The doctor will perform a transplant tomorrow.,医生明天将进行移植手术。
5,transport,运输,We use cars to transport goods.,我们用汽车运输货物。
5,transportation,交通,We need reliable transportation to go to the park.,我们需要可靠的交通工具去公园。
5,trap,陷阱,Be careful not to fall into the trap.,小心别掉进陷阱里。
5,travel,旅行,I love to travel during my holidays.,我喜欢在假期旅行。
5,tray,托盘,She placed the cups on the tray.,她把杯子放在托盘上。
5,treasure,宝藏,I found a beautiful treasure in the old box.,我在旧盒子里发现了一件漂亮的宝物。
5,treat,对待,Doctors treat patients to help them get better.,医生治疗病人以帮助他们康复。
6,treatment,治疗,She is receiving treatment for her illness.,她正在接受疾病治疗。
6,treaty,条约,The two countries signed a treaty to promote peace and trade.,两国签署了一项促进和平与贸易的条约。
5,tremble,颤抖,The leaves tremble in the wind.,树叶在风中颤抖。
5,trend,趋势,The trend of online shopping is growing rapidly.,网上购物的趋势正在迅速增长。
5,trial,试验,She will start the trial tomorrow.,她明天将开始试验。
5,tribe,部落,The tribe lives in a small village near the river.,这个部落住在河边的一个小村庄里。
5,trick,诡计,She taught me a fun trick to solve the puzzle quickly.,她教了我一个快速解开谜题的有趣技巧。
6,trifle,琐事,She bought a small trifle for dessert.,她买了一小份松糕当甜点。
5,trigger,触发,A loud noise can trigger a reaction.,一声巨响会引发反应。
6,trim,修剪,Please trim the extra spaces from the text.,请从文本中删除多余的空格。
4,trip,旅行,I want to plan a trip to the mountains next summer.,我想明年夏天计划一次去山里的旅行。
6,triumph,胜利,Their hard work led to a great triumph.,他们的辛勤工作带来了巨大的胜利。
6,troop,军队,The troop marched through the village.,部队穿过了村庄。
5,trophy,奖杯,She won a trophy for her excellent performance.,她因出色的表现赢得了一座奖杯。
4,trouble,麻烦,I have trouble solving this math problem.,我做这道数学题有困难。
4,trousers,裤子,I need to buy new trousers for the trip.,我需要为这次旅行买新裤子。
3,truck,卡车,The truck is carrying goods to the warehouse.,卡车正在把货物运往仓库。
1,true,单词,Please write a true story about your weekend.,请写一个关于你周末的真实故事。
5,trumpet,小号,He plays the trumpet in the school band.,他在学校乐队里吹小号。
5,trunk,树干,The elephant used its trunk to pick up the fruit.,大象用它的鼻子捡起了水果。
5,trust,信任,We should trust each other.,我们应该互相信任。
5,truth,真相,We should always tell the truth.,我们应该总是说真话。
3,try,尝试,I try to learn English every day.,我每天努力学习英语。
6,tuition,学费,Her parents work hard to pay her tuition.,她的父母努力工作来支付她的学费。
6,tumble,跌倒,The leaves tumble from the tree in autumn.,秋天树叶从树上飘落。
1,tummy,肚子,My tummy feels hungry now.,我现在肚子饿了
6,tumor,肿瘤,The doctor found a tumor during the examination.,医生在检查时发现了一个肿瘤。
5,tune,调整,I need to tune my guitar before the performance.,演出前我需要调整一下吉他。
5,tunnel,隧道,We walked through the dark tunnel.,我们走过黑暗的隧道。
4,turkey,火鸡,We are going to eat turkey for dinner.,我们晚餐要吃火鸡。
3,turn,转动,It's your turn to speak now.,现在轮到你发言了
5,turning,转动,She is turning the page of her book.,她正在翻书。
5,turnip,萝卜,I like to eat turnip.,我喜欢吃萝卜。
5,tutor,导师,My tutor helps me with math homework every day.,我的导师每天帮我做数学作业。
3,TV,电视,I watch TV every evening.,我每天晚上看电视。
3,twelve,十二,I have twelve apples in my basket.,我的篮子里有十二个苹果。
3,twenty,二十,She has twenty books on her shelf.,她的书架上有二十本书。
5,twice,两次,I go to the park twice a week.,我每周去公园两次。
5,twinkle,闪烁,The stars twinkle brightly at night.,夜晚星星明亮地闪烁着。
5,twist,扭曲,The plot took an unexpected twist at the end.,剧情在结尾处出现了意想不到的转折。
3,type,类型,Please type your name here.,请在此处输入您的姓名
5,typhoon,台风,The typhoon is approaching the coastal area.,台风正接近沿海地区。
6,tyre,轮胎,The tyre of the car is flat.,汽车的轮胎瘪了。
5,ugly,丑陋,That old house looks ugly.,那座老房子看起来很丑。
5,ultimately,最终,She ultimately decided to pursue her dream of becoming a doctor.,她最终决定去追求成为一名医生的梦想。
3,umbrella,雨伞,I need an umbrella when it rains.,下雨时我需要一把伞。
5,unable,不能,I am unable to attend the meeting today.,我今天不能参加会议。
3,uncle,叔叔,My uncle is reading a book.,我的叔叔正在看书。
5,uncover,发现,We need to uncover the truth behind the mystery.,我们需要揭开这个谜团背后的真相。
5,underestimate,低估,Don't underestimate the power of kindness.,不要低估善良的力量
6,undergo,经历,She will undergo a medical checkup tomorrow.,她明天将接受体检。
6,underground,地下,I take the underground to work every day.,我每天乘地铁上班。
6,undermine,破坏,False information can undermine public trust.,虚假信息会损害公众信任。
3,understand,理解,I can understand the question clearly.,我能清楚地理解这个问题。
5,understanding,理解,Understanding new concepts takes time and practice.,理解新概念需要时间和练习
6,undertake,承担,I will undertake this project next week.,我下周将承担这个项目。
6,undertaking,事业,They are planning a new undertaking to help the community.,他们正在计划一项新的事业来帮助社区。
5,underwear,内衣,I need to buy new underwear.,我需要买新的内衣。
6,undo,撤销,I need to undo the last action I did on the computer.,我需要撤销我在电脑上执行的最后一个操作。
6,unemployment,失业,High unemployment affects many families in the area.,高失业率影响着该地区的许多家庭。
5,unfold,展开,The story began to unfold as we turned the page.,当我们翻开书页时，故事开始展开。
5,uniform,制服,Students wear uniform to school every day.,学生们每天穿校服上学。
5,union,联合,We are working in union to solve the problem.,我们正在齐心协力解决这个问题。
3,unit,单位,This is a basic unit of measurement.,这是一个基本的计量单位。
5,unite,团结,We should unite to solve this problem.,我们应该团结起来解决这个问题。
6,unity,统一,We need to work in unity to solve this problem.,我们需要团结一致解决这个问题。
6,universe,宇宙,The universe is vast and full of mysteries.,宇宙广阔且充满奥秘。
6,university,大学,I study at a university in the city.,我在城里的一所大学学习。
5,unless,除非,I won't go to the park unless it stops raining.,除非雨停了，否则我不会去公园。
5,unlike,不像,"Unlike cats, dogs are usually more energetic.",与猫不同，狗通常更有活力。
6,unload,卸载,We need to unload the boxes from the truck.,我们需要把箱子从卡车上卸下来。
5,unlock,解锁,I need a key to unlock the door.,我需要一把钥匙来开门。
6,unrest,动荡,The country faced unrest due to economic problems.,这个国家因经济问题面临动荡。
5,unwrap,打开,Please unwrap the gift carefully.,请小心拆开礼物。
3,up,向上,I need to pick up my book from the table.,我需要从桌子上拿起我的书。
6,update,更新,I need to update my phone software today.,我今天需要更新我的手机软件。
6,uphold,维持,We must uphold the principles of justice and equality.,我们必须坚持公正和平等的原则。
6,uproar,喧嚣,The news caused an uproar in the community.,这则消息在社区中引起了轩然大波。
4,upstairs,楼上,I went upstairs to get my book.,我上楼去拿我的书。
6,upwards,向上,The balloon rose upwards into the sky.,气球向上升入天空。
6,urge,催促,I urge you to finish your homework on time.,我敦促你按时完成作业。
3,us,美国,We are going to the park.,我们要去公园。
5,usage,用法,I need to learn the usage of this new tool.,我需要学习这个新工具的用法。
3,use,使用,I use a pen to write.,我用钢笔写字。
1,user,用户,The user is typing a message now.,用户现在正在输入消息。
4,usually,通常,I usually go to school by bus.,我通常坐公交车去上学。
6,utility,实用,The utility of this tool makes daily tasks easier.,这个工具的实用性使日常任务变得更加轻松。
6,utilize,利用,We can utilize this tool to complete the task efficiently.,我们可以利用这个工具高效地完成任务。
4,vacation,假期,I am planning a vacation to the beach next month.,我计划下个月去海滩度假。
6,vacuum,真空,I need to vacuum the living room today.,我今天需要用吸尘器打扫客厅。
5,valley,山谷,We walked through the valley and saw beautiful flowers.,我们穿过山谷，看到了美丽的花朵。
0,value,价值,The value of this book is immeasurable.,这本书的价值是无法估量的。
6,valve,阀门,Turn the valve to let the water flow.,转动阀门让水流动。
5,vanish,消失,The magician made the rabbit vanish.,魔术师让兔子消失了。
6,vanity,虚荣,Her vanity made her spend hours in front of the mirror.,她的虚荣心使她在镜子前花费数小时。
5,vapor,水汽,The sun heats water and turns it into vapor.,太阳加热水并将其转化为蒸汽。
6,variable,变量,The variable can represent different values in a math problem.,在数学问题中，变量可以表示不同的值。
5,variation,变化,There is a variation in the colors of the flowers.,这些花的颜色存在差异。
5,variety,种类,She enjoys a variety of fruits every morning.,她每天早上都喜欢吃各种各样的水果。
5,vary,变化,Prices vary in different stores.,不同商店的价格各不相同。
5,vase,花瓶,The vase is on the table.,花瓶在桌子上。
3,vegetable,蔬菜,I like to eat vegetable every day.,我喜欢每天吃蔬菜。
5,vehicle,车辆,I drive a vehicle to work every day.,我每天开车去上班。
